,open,high,low,close,volume,value,ma5,range,target,bull,ror,hpr,dd
2021-07-22 09:00:00,225,233,220,224,1723165326.90067,389252976177.645,214.4,6.5,251.5,1,1,4.353302432669,24.0926567478255
2021-07-23 09:00:00,225,234,217,227,1176350136.90192,264557243111.52,215,8.5,231.5,1,0.977361555075594,4.25475043530774,25.8110809573978
2021-07-24 09:00:00,226,240,222,231,1247169486.6178,285833564865.328,217.4,9,234.5,1,0.981874626865672,4.17763149607435,27.1557827974775
2021-07-25 09:00:00,230,234,224,229,779311182.478903,178366787644.541,222,5,239,1,1,4.17763149607435,27.1557827974775
2021-07-26 09:00:00,229,270,227,235,4429250767.41813,1120982375486.1,227.2,21.5,234,1,1.0010735042735,4.18211620133851,27.0775842190105
2021-07-27 09:00:00,235,243,226,237,1845073068.03645,431557216800.051,229.2,8.5,256.5,1,1,4.18211620133851,27.0775842190105
2021-07-28 09:00:00,237,249,233,238,1670509895.40879,401377520249.563,231.8,8,245.5,1,0.966250101832994,4.04097020542075,29.538708325711
2021-07-29 09:00:00,238,239,232,235,697915154.61601,164422092330.67,234,3.5,246,1,1,4.04097020542075,29.538708325711
2021-07-30 09:00:00,236,243,227,240,1043213892.54041,245923617763.058,234.8,8,239.5,1,0.998887682672234,4.03647536424027,29.6170836413771
2021-07-31 09:00:00,240,249,237,241,740210630.488446,178477556337.684,237,6,248,1,0.968574193548387,3.90962587069695,31.8289235483632
2021-08-01 09:00:00,240,254,235,236,1101735864.59564,270028823211.12,238.2,9.5,246,1,0.956149593495935,3.73818718698808,34.8182529625872
2021-08-02 09:00:00,236,245,234,236,722736619.96334,172235414184.813,238,5.5,245.5,0,1,3.73818718698808,34.8182529625872
2021-08-03 09:00:00,236,238,228,231,500823645.29186,116417829503.079,237.6,5,241.5,0,1,3.73818718698808,34.8182529625872
2021-08-04 09:00:00,231,236,227,232,601284080.406826,139209234734.096,236.8,4.5,236,0,1,3.73818718698808,34.8182529625872
2021-08-05 09:00:00,233,236,228,232,557089324.294876,128790915648.901,235.2,4,237.5,0,1,3.73818718698808,34.8182529625872
2021-08-06 09:00:00,233,243,230,236,588847650.947776,138349228578.355,233.4,6.5,237,0,1,3.73818718698808,34.8182529625872
2021-08-07 09:00:00,237,303,235,301,4575666589.46871,1227469401360.28,233.4,34,243.5,1,1.23293963039014,4.60895912865425,19.6348408995084
2021-08-08 09:00:00,301,325,276,280,6126169809.48703,1837143594573.37,246.4,24.5,335,1,1,4.60895912865425,19.6348408995084
2021-08-09 09:00:00,280,303,270,292,3624769643.67424,1042736130996.19,256.2,16.5,304.5,1,1,4.60895912865425,19.6348408995084
2021-08-10 09:00:00,292,302,285,295,2268731324.22147,665377061074.581,268.2,8.5,308.5,1,1,4.60895912865425,19.6348408995084
2021-08-11 09:00:00,295,324,294,306,2819088422.11429,871542599438.515,280.8,15,303.5,1,1.00503723228995,4.63217552640017,19.2300229251004
2021-08-12 09:00:00,306,340,298,310,3676541519.10202,1166052061780.84,294.8,21,321,1,0.962532087227414,4.45861757782971,22.2563053807865
2021-08-13 09:00:00,310,332,307,331,2009263858.71931,642333242183.693,296.6,12.5,331,1,0.9968,4.44435000158065,22.505085203568
2021-08-14 09:00:00,331,347,321,343,3591074834.19309,1204826264019.2,306.8,13,343.5,1,0.995344395924309,4.42365886759949,22.8658708447396
2021-08-15 09:00:00,343,406,335,397,4757076767.64953,1730420990660.45,317,35.5,356,1,1.11196853932584,4.91896948948042,14.2292750710542
2021-08-16 09:00:00,397,409,370,376,4246654464.68831,1661906672312.49,337.4,19.5,432.5,1,1,4.91896948948042,14.2292750710542
2021-08-17 09:00:00,376,398,351,353,3801126422.89769,1433742340409.08,351.4,23.5,395.5,1,0.889341087231353,4.37464167383237,23.7205702390701
2021-08-18 09:00:00,353,378,333,357,4793797992.37403,1699730743968.07,360,22.5,376.5,0,1,4.37464167383237,23.7205702390701
2021-08-19 09:00:00,357,375,348,372,1946437988.5943,700233124568.438,365.2,13.5,379.5,0,1,4.37464167383237,23.7205702390701
2021-08-20 09:00:00,373,390,368,382,1859752374.38993,703209789879.861,371,11,386.5,1,0.985157050452781,4.30970908818051,24.8527819665022
2021-08-21 09:00:00,382,387,371,374,1366412535.68809,516847737494.35,368,8,393,1,1,4.30970908818051,24.8527819665022
2021-08-22 09:00:00,374,377,361,369,1011827526.72431,374432216912.511,367.6,8,382,1,1,4.30970908818051,24.8527819665022
2021-08-23 09:00:00,368,382,366,369,1341709530.75433,500326609566.576,370.8,8,376,0,1,4.30970908818051,24.8527819665022
2021-08-24 09:00:00,369,371,337,340,1492999547.58276,527535849024.569,373.2,17,377,0,1,4.30970908818051,24.8527819665022
2021-08-25 09:00:00,340,348,327,341,1196543616.9677,403497222807.208,366.8,10.5,357,0,1,4.30970908818051,24.8527819665022
2021-08-26 09:00:00,342,345,314,319,1303303935.84214,424410245637.005,358.6,15.5,352.5,0,1,4.30970908818051,24.8527819665022
2021-08-27 09:00:00,318,345,313,345,1416720667.58091,463729498029.116,347.6,16,333.5,0,1,4.30970908818051,24.8527819665022
2021-08-28 09:00:00,345,348,341,342,50677634.7764675,17488034489.5426,342.8,3.5,361,1,1,4.30970908818051,24.8527819665022
